price,bedrooms,bathrooms,sqft_living,sqft_lot
231300,2,1,1180,5650
538000,3,2.25,2570,7242
180000,2,1,770,10000
604000,4,3,1960,5000
510000,3,2,1680,8080
1.23E+06,4,4.5,5420,101930
257500,3,2.25,1715,6819
291850,3,1.5,1060,9711
229500,3,1,1780,7470
323000,3,2.5,1890,6560
662500,3,2.5,3560,9796
468000,2,1,1160,6000
310000,3,1,1430,19901
400000,3,1.75,1370,9680
530000,5,2,1810,4850
650000,4,3,2950,5000
395000,3,2,1890,14040
485000,4,1,1600,4300
189000,2,1,1200,9850
230000,3,1,1250,9774
385000,4,1.75,1620,4980
2.00E+06,3,2.75,3050,44867
285000,5,2.5,2270,6300
252700,2,1.5,1070,9643
329000,3,2.25,2450,6500
233000,3,2,1710,4697
937000,3,1.75,2450,2691
667000,3,1,1400,1581
438000,3,1.75,1520,6380
719000,4,2.5,2570,7173
580500,3,2.5,2320,3980
280000,2,1.5,1190,1265
687500,4,1.75,2330,5000
535000,3,1,1090,3000
322500,4,2.75,2060,6659
696000,3,2.5,2300,3060
550000,4,1,1660,34848
640000,4,2,2360,6000
240000,4,1,1220,8075
605000,4,2.5,2620,7553
625000,4,2.5,2570,5520
775000,4,2.25,4220,24186
861990,5,2.75,3595,5639
685000,3,1,1570,2280
309000,3,1,1280,9656
488000,3,2.5,3160,13603
210490,3,1,990,8528
785000,4,2.5,2290,13416
450000,3,1.75,1250,5963
1.35E+06,3,2.5,2753,65005
228000,3,1,1190,9199
345000,5,2.5,3150,9134
600000,3,1.75,1410,4080
585000,2,1.75,1980,8550
920000,5,2.25,2730,6000
885000,4,2.5,2830,5000
292500,4,2.5,2250,4495
301000,3,2.5,2420,4750
951000,5,3.25,3250,14342
430000,4,3,1850,9976
650000,3,2.25,2150,21235
289000,3,1.75,1260,8400
505000,3,1.75,2519,8690
549000,3,1.75,1540,1044
425000,3,2.25,1660,6000
317625,3,2.75,2770,3809
975000,4,2.5,2720,11049
287000,4,2.5,2240,4648
204000,3,1,1000,12070
1.33E+06,5,2.25,3200,20158
1.04E+06,5,3.25,4770,50094
325000,3,2,1260,5612
571000,4,2,2750,7807
360000,4,2.5,2380,5000
349000,3,1.75,1790,50529
832500,4,4,3430,35102
380000,4,1.75,1760,7300
480000,3,1,1040,5060
410000,3,1,1410,5060
720000,4,2.5,3450,39683
390000,3,2.5,2350,5100
360000,4,2.5,1900,5889
355000,2,1,2020,6720
356000,3,1.5,1680,8712
315000,3,1,960,6634
940000,3,1.5,2140,3600
305000,5,2.25,2660,8400
461000,3,3.25,2770,6278
215000,2,2.25,1610,2040
335000,2,1.75,1030,1066
243500,4,2.5,1980,7403
1.10E+06,5,2.75,3520,6353
153000,3,1,1200,10500
430000,3,1.5,1580,5000
700000,3,1.5,1580,5000
905000,4,2.5,3300,10250
247500,3,1.75,1960,15681
199000,4,1.5,1160,6400
314000,3,1.75,1810,41800
437500,3,2.5,2320,36847
850830,3,2.5,2070,13241
555000,3,2,1980,3478
699950,3,2.25,2190,107593
1.09E+06,3,2.5,2920,8113
290000,3,1,1210,33919
375000,3,2.5,2340,10005
460000,3,1,1670,4005
188500,2,1.75,1240,2493
680000,4,2.5,3140,28037
470000,5,1.75,2030,12342
597750,4,2.5,2310,9624
570000,3,1.75,1260,3328
272500,3,1.75,1540,12600
329950,3,1.75,2080,5969
480000,4,2.5,3230,16171
740500,3,3.5,4380,6350
518500,3,3.5,1590,1102
205425,2,1,880,6780
171800,4,2,1570,9600
535000,4,1,1610,2982
660000,3,2.5,2400,6474
391500,3,2,1450,9132
395000,2,1,770,6000
445000,4,1.75,2100,4400
770000,3,2.25,2910,10204
1.45E+06,4,2.75,2750,17789
445000,3,2.25,2100,8201
260000,4,2.25,2160,8811
822500,5,3.5,2320,4960
430000,4,2.5,2070,4310
212000,3,1.75,1060,7875
660500,4,2.25,2010,9603
784000,3,3.5,3950,111078
453246,3,2.5,2010,2287
675000,4,3.5,2140,2278
199000,3,1.75,1320,17390
220000,4,1.75,2020,7840
452000,4,2.25,2590,10002
382500,2,1,1190,4440
519950,3,2.25,1170,1249
665000,2,1,1110,3200
527700,5,2.5,2820,9375
205000,3,1,1610,8579
420000,3,1,1060,8097
500000,4,2.25,2030,8517
921500,4,2.5,3670,315374
890000,4,1,2550,4000
430000,2,2.5,2420,60984
258000,5,2,2260,12500
511000,3,1,1430,3455
532170,3,2,1360,3090
560000,3,1,1110,5000
282950,3,1,1250,8200
2.25E+06,4,3.25,5180,19850
350000,1,1,700,5100
215000,3,1,1180,7669
650000,5,3.5,3960,25245
320000,4,2.75,2640,7500
247000,3,2,1270,7198
320000,4,1.75,1760,11180
255000,5,2.25,2060,8632
438000,3,1.75,1780,9660
900000,3,2.5,3400,16603
441000,3,2.75,1910,7280
420000,3,2,2020,38332
370000,3,1.75,1580,7000
269950,2,1.75,1340,7250
807100,4,2.5,2680,4499
653000,3,2.5,2680,9750
371500,3,2,1370,8336
284000,3,1.75,1560,21000
272000,3,1.75,2160,7140
313000,3,1.5,1340,7912
917500,4,2.5,3880,35003
673000,4,2.25,2590,8190
425000,3,2.5,1120,1100
399950,5,2.75,1970,5400
385000,3,1,1220,4800
269950,3,1.5,1950,7560
330000,2,1,1350,8220
260000,3,2.5,1670,5797
470000,4,3,2380,5125
589000,4,3,2440,9600
163500,2,1.5,1050,3419
835000,4,2.75,3130,13412
1.10E+06,5,3,4090,12850
269000,4,1.75,1490,10000
560000,3,2.5,1900,8744
615000,4,1,1330,2400
585188,3,2.25,2230,10026
305000,3,1.75,1650,9480
166950,3,1,1190,8820
799000,3,2.5,2140,9897
400000,3,2.5,2180,7508
230000,3,1,1060,10228
256883,3,2.5,1690,5025
423000,4,2,1970,6480
465000,3,2.5,2150,4084
440000,3,2.5,1910,66211
385000,3,1.75,1350,155073
210000,3,1,860,11725
297000,3,2.5,1940,14952
470000,3,1,1010,5000
226500,3,1.5,1300,7370
274250,3,1,910,8450
840000,4,1.75,2480,11010
677900,3,2.5,2440,4587
425000,3,1,1010,5864
180250,2,0.75,900,9600
464000,6,3,2300,3404
320000,4,2.25,1550,7579
625504,3,2.25,1270,1566
592500,4,2.5,2240,12032
465000,3,2.5,2714,17936
477000,4,2.75,1720,6270
280000,2,1,850,16400
1.51E+06,5,3,3300,33474
445838,3,2.5,2250,5692
1.07E+06,2,2.25,3900,14864
467000,2,1.5,1320,10800
686000,4,2.5,2760,6440
279950,3,2,1750,9750
527000,4,2.25,2330,19436
325000,3,2.25,2220,16020
328000,3,2.25,2020,8379
390000,3,2.25,1250,7500
479950,2,2,1510,6516
264950,4,2.25,1720,9753
235000,3,1,1430,15246
516500,3,2.5,1480,4729
655000,2,1.75,1450,15798
500000,4,2.75,2280,15347
315000,6,2.75,2940,7350
213000,2,1,1000,10200
475000,3,1.5,2480,5280
1.03E+06,5,4,3760,28040
416000,3,2,2220,94300
410000,4,1,1970,4740
800000,3,3.5,3830,221284
472000,6,2.5,4410,14034
225000,3,1.75,1430,8505
210000,2,1,830,6000
455000,2,1,1430,5000
